N,Nombre del Negocio,Categoria,Direccion,Instagram,WhatsApp_Telefono,Link_contacto,Calificacion,Motivo_calificacion,Mensaje_Instagram,Mensaje_WhatsApp,Estado_lead,Fecha_contacto,Notas
11,NutriTigre,Dietetica,"Av. Cazon 1570, Tigre",@nutritigre,-,https://nutritigre.com.ar/,Media,Dietetica orientada a vida saludable,"Buenas, ¿cómo andan? Soy Mariano, de Acrule Hidroponía. Les escribo porque fabricamos huertas hidropónicas y estamos armando una comunidad enfocada en ayudar a que la gente cultive sus propios alimentos de manera saludable. Te cuento que vi la propuesta saludable que tienen en NutriTigre y creemos que el cultivo en casa es un complemento natural para la gente que los elige, y podrían ser un buen punto de comercialización. Si te copa la idea avisame y te paso más info!","Buenas, ¿cómo andan? Soy Mariano, de Acrule Hidroponía. Les escribo porque fabricamos huertas hidropónicas y estamos armando una comunidad enfocada en ayudar a que la gente cultive sus propios alimentos de manera saludable. Te cuento que vi la propuesta saludable que tienen en NutriTigre y creemos que el cultivo en casa es un complemento natural para la gente que los elige, y podrían ser un buen punto de comercialización. Si te copa la idea avisame y te paso más info!",Contactado,2026-04-13,
12,Ferreteria El Tigre,Ferreteria,Tigre centro,@eltigre_ferreteria,-,https://instagram.com/eltigre_ferreteria,Baja,Ferreteria general con 43K seguidores,"Buenas, ¿cómo andan? Soy Mariano, de Acrule Hidroponía. Les escribo porque fabricamos huertas hidropónicas y estamos armando una comunidad enfocada en ayudar a que la gente cultive sus propios alimentos de manera saludable. Te cuento que vi que en Ferreteria El Tigre la gente del barrio se acerca para armar sus proyectos, y creemos que las huertas hidropónicas pueden ser un producto lindo para sumar al local, y podrían ser un buen punto de comercialización. Si te copa la idea avisame y te paso más info!","Buenas, ¿cómo andan? Soy Mariano, de Acrule Hidroponía. Les escribo porque fabricamos huertas hidropónicas y estamos armando una comunidad enfocada en ayudar a que la gente cultive sus propios alimentos de manera saludable. Te cuento que vi que en Ferreteria El Tigre la gente del barrio se acerca para armar sus proyectos, y creemos que las huertas hidropónicas pueden ser un producto lindo para sumar al local, y podrían ser un buen punto de comercialización. Si te copa la idea avisame y te paso más info!",Sin contactar,,
13,Vivero Lunta,Vivero,Zona Tigre (confirmar),@viverolunta,-,https://instagram.com/viverolunta,Alta,Huerta y deco. Perfil 100% alineado,"Buenas, ¿cómo andan? Soy Mariano, de Acrule Hidroponía. Les escribo porque fabricamos huertas hidropónicas y estamos armando una comunidad enfocada en ayudar a que la gente cultive sus propios alimentos de manera saludable. Te cuento que vi lo que hacen en Vivero Lunta con las plantas y la propuesta verde, y nos parece que encaja perfecto con la comunidad que estamos armando, y podrían ser un buen punto de comercialización. Si te copa la idea avisame y te paso más info!","Buenas, ¿cómo andan? Soy Mariano, de Acrule Hidroponía. Les escribo porque fabricamos huertas hidropónicas y estamos armando una comunidad enfocada en ayudar a que la gente cultive sus propios alimentos de manera saludable. Te cuento que vi lo que hacen en Vivero Lunta con las plantas y la propuesta verde, y nos parece que encaja perfecto con la comunidad que estamos armando, y podrían ser un buen punto de comercialización. Si te copa la idea avisame y te paso más info!",Respondió,2026-04-13,"Dio su número de teléfono por IG. Mariano le escribió por WA el 14/04, sin respuesta aún."
14,Pindo Studio,Vivero/Deco,"Av. Agustin M. Garcia 6385, Tigre",@pindosstudio,+5491133343852,https://instagram.com/pindosstudio,Media,Estudio de plantas y diseno,"Buenas, ¿cómo andan? Soy Mariano, de Acrule Hidroponía. Les escribo porque fabricamos huertas hidropónicas y estamos armando una comunidad enfocada en ayudar a que la gente cultive sus propios alimentos de manera saludable. Te cuento que vi lo que hacen en Pindo Studio con las plantas y la propuesta verde, y nos parece que encaja perfecto con la comunidad que estamos armando, y podrían ser un buen punto de comercialización. Si te copa la idea avisame y te paso más info!","Buenas, ¿cómo andan? Soy Mariano, de Acrule Hidroponía. Les escribo porque fabricamos huertas hidropónicas y estamos armando una comunidad enfocada en ayudar a que la gente cultive sus propios alimentos de manera saludable. Te cuento que vi lo que hacen en Pindo Studio con las plantas y la propuesta verde, y nos parece que encaja perfecto con la comunidad que estamos armando, y podrían ser un buen punto de comercialización. Si te copa la idea avisame y te paso más info!",Interesado,2026-04-20,"2026-04-20: Le interesaba que le cuente, le mandé audio de 50seg + link pero clavó visto. FOLLOW-UP en 3 días."
15,Rincon Tigre,Casa/Jardin,"Av. Santa Maria 2096, Tigre",Buscar IG,-,Buscar link,Media,Articulos para casa y jardin. Empresa familiar,"Buenas, ¿cómo andan? Soy Mariano, de Acrule Hidroponía. Les escribo porque fabricamos huertas hidropónicas y estamos armando una comunidad enfocada en ayudar a que la gente cultive sus propios alimentos de manera saludable. Te cuento que me gustó mucho la propuesta de Rincon Tigre con los espacios verdes y el paisajismo, sentimos que hay mucha sintonía con lo que proponemos, y podrían ser un buen punto de comercialización. Si te copa la idea avisame y te paso más info!","Buenas, ¿cómo andan? Soy Mariano, de Acrule Hidroponía. Les escribo porque fabricamos huertas hidropónicas y estamos armando una comunidad enfocada en ayudar a que la gente cultive sus propios alimentos de manera saludable. Te cuento que me gustó mucho la propuesta de Rincon Tigre con los espacios verdes y el paisajismo, sentimos que hay mucha sintonía con lo que proponemos, y podrían ser un buen punto de comercialización. Si te copa la idea avisame y te paso más info!",Sin contactar,,
16,Alalma Jardín,Vivero/Café/Deco,"Centro Cívico, frente a Parroquia Sagrada Familia, Nordelta",@alalma.demarianahogg,-,https://instagram.com/alalma.demarianahogg,Alta,Vivero + café + huerta agroecológica + tienda deco. Perfil ideal 100%,"Buenas, ¿cómo andan? Soy Mariano, de Acrule Hidroponía. Les escribo porque fabricamos huertas hidropónicas y estamos armando una comunidad enfocada en ayudar a que la gente cultive sus propios alimentos de manera saludable. Te cuento que vi lo que hacen en Alalma Jardín con las plantas y la propuesta verde, y nos parece que encaja perfecto con la comunidad que estamos armando, y podrían ser un buen punto de comercialización. Si te copa la idea avisame y te paso más info!","Buenas, ¿cómo andan? Soy Mariano, de Acrule Hidroponía. Les escribo porque fabricamos huertas hidropónicas y estamos armando una comunidad enfocada en ayudar a que la gente cultive sus propios alimentos de manera saludable. Te cuento que vi lo que hacen en Alalma Jardín con las plantas y la propuesta verde, y nos parece que encaja perfecto con la comunidad que estamos armando, y podrían ser un buen punto de comercialización. Si te copa la idea avisame y te paso más info!",Respondió,2026-04-13,"Nadia respondió: 'Hola Mariano, Nadia por acá, gracias Zamira que nos lleva a las redes'. Quedó ahí. Falta enviar propuesta."
17,FÊTE Flores Deco y Eventos,Florería/Deco,Nordelta / Zona Norte,@fete_ba,-,https://instagram.com/fete_ba,Media,Florería con 34K seguidores. Deco y eventos. Público premium,"Buenas, ¿cómo andan? Soy Mariano, de Acrule Hidroponía. Les escribo porque fabricamos huertas hidropónicas y estamos armando una comunidad enfocada en ayudar a que la gente cultive sus propios alimentos de manera saludable. Te cuento que me encantó la estética que manejan en FÊTE Flores Deco y Eventos y creo que nuestras huertas encajan perfecto con la propuesta de diseño que tienen, y podrían ser un buen punto de comercialización. Si te copa la idea avisame y te paso más info!","Buenas, ¿cómo andan? Soy Mariano, de Acrule Hidroponía. Les escribo porque fabricamos huertas hidropónicas y estamos armando una comunidad enfocada en ayudar a que la gente cultive sus propios alimentos de manera saludable. Te cuento que me encantó la estética que manejan en FÊTE Flores Deco y Eventos y creo que nuestras huertas encajan perfecto con la propuesta de diseño que tienen, y podrían ser un buen punto de comercialización. Si te copa la idea avisame y te paso más info!",Contactado,2026-04-13,
18,NEGRO House & Pleasures,Decoración/Diseño,"Av. Agustín M. García 7227, Nordelta, Tigre",@negrohouseandpleasures,+543327484047,https://instagram.com/negrohouseandpleasures,Media,Tienda de diseño y deco en Nordelta. Estudio + tienda,"Buenas, ¿cómo andan? Soy Mariano, de Acrule Hidroponía. Les escribo porque fabricamos huertas hidropónicas y estamos armando una comunidad enfocada en ayudar a que la gente cultive sus propios alimentos de manera saludable. Te cuento que me encantó la estética que manejan en NEGRO House & Pleasures y creo que nuestras huertas encajan perfecto con la propuesta de diseño que tienen, y podrían ser un buen punto de comercialización. Si te copa la idea avisame y te paso más info!","Buenas, ¿cómo andan? Soy Mariano, de Acrule Hidroponía. Les escribo porque fabricamos huertas hidropónicas y estamos armando una comunidad enfocada en ayudar a que la gente cultive sus propios alimentos de manera saludable. Te cuento que me encantó la estética que manejan en NEGRO House & Pleasures y creo que nuestras huertas encajan perfecto con la propuesta de diseño que tienen, y podrían ser un buen punto de comercialización. Si te copa la idea avisame y te paso más info!",No interesado,2026-04-13,Dijo: no trabajamos con ese tipo de objetos.
19,SANTO Muebles y Decoración,Decoración,"Av. Agustín García 6306, Nordelta, Tigre",@holasanto,-,https://instagram.com/holasanto,Baja,Muebles interior/exterior con 23K seguidores. Buen tráfico,"Buenas, ¿cómo andan? Soy Mariano, de Acrule Hidroponía. Les escribo porque fabricamos huertas hidropónicas y estamos armando una comunidad enfocada en ayudar a que la gente cultive sus propios alimentos de manera saludable. Te cuento que me encantó la estética que manejan en SANTO Muebles y Decoración y creo que nuestras huertas encajan perfecto con la propuesta de diseño que tienen, y podrían ser un buen punto de comercialización. Si te copa la idea avisame y te paso más info!","Buenas, ¿cómo andan? Soy Mariano, de Acrule Hidroponía. Les escribo porque fabricamos huertas hidropónicas y estamos armando una comunidad enfocada en ayudar a que la gente cultive sus propios alimentos de manera saludable. Te cuento que me encantó la estética que manejan en SANTO Muebles y Decoración y creo que nuestras huertas encajan perfecto con la propuesta de diseño que tienen, y podrían ser un buen punto de comercialización. Si te copa la idea avisame y te paso más info!",No calificado,,"Fabrican muebles, no venden productos de terceros"
20,Guazú-Nambí Muebles y Deco,Decoración,"Agustín García 5899, Nordelta, Tigre",@guazunambi_muebles,+5491140906281,https://wa.me/5491140906281,Media,Muebles de madera interior/exterior. 20+ años. 10K seguidores,"Buenas, ¿cómo andan? Soy Mariano, de Acrule Hidroponía. Les escribo porque fabricamos huertas hidropónicas y estamos armando una comunidad enfocada en ayudar a que la gente cultive sus propios alimentos de manera saludable. Te cuento que me encantó la estética que manejan en Guazú-Nambí Muebles y Deco y creo que nuestras huertas encajan perfecto con la propuesta de diseño que tienen, y podrían ser un buen punto de comercialización. Si te copa la idea avisame y te paso más info!","Buenas, ¿cómo andan? Soy Mariano, de Acrule Hidroponía. Les escribo porque fabricamos huertas hidropónicas y estamos armando una comunidad enfocada en ayudar a que la gente cultive sus propios alimentos de manera saludable. Te cuento que me encantó la estética que manejan en Guazú-Nambí Muebles y Deco y creo que nuestras huertas encajan perfecto con la propuesta de diseño que tienen, y podrían ser un buen punto de comercialización. Si te copa la idea avisame y te paso más info!",Número inválido,,WhatsApp no funciona (intento 2026-04-20)
21,Gloria Atelier Deco,Decoración,"Av. de los Lagos 7008, Nordelta Centro Comercial, Tigre",@gloriaatelierdeco,+5491134839270,https://instagram.com/gloriaatelierdeco,Media,Deco con showroom en Nordelta CC. Diseño de interiores,"Buenas, ¿cómo andan? Soy Mariano, de Acrule Hidroponía. Les escribo porque fabricamos huertas hidropónicas y estamos armando una comunidad enfocada en ayudar a que la gente cultive sus propios alimentos de manera saludable. Te cuento que me encantó la estética que manejan en Gloria Atelier Deco y creo que nuestras huertas encajan perfecto con la propuesta de diseño que tienen, y podrían ser un buen punto de comercialización. Si te copa la idea avisame y te paso más info!","Buenas, ¿cómo andan? Soy Mariano, de Acrule Hidroponía. Les escribo porque fabricamos huertas hidropónicas y estamos armando una comunidad enfocada en ayudar a que la gente cultive sus propios alimentos de manera saludable. Te cuento que me encantó la estética que manejan en Gloria Atelier Deco y creo que nuestras huertas encajan perfecto con la propuesta de diseño que tienen, y podrían ser un buen punto de comercialización. Si te copa la idea avisame y te paso más info!",Número inválido,,WhatsApp no funciona (intento 2026-04-20)
22,Mike Outdoor Living,Muebles Exterior,"Av. del Mirador 530, Local 3, Bahía Grande, Nordelta",@mike.outdoorliving,+5491149481660,https://wa.me/5491149481660,Alta,Muebles de exterior premium en Nordelta. Ideal para kits de huerta en terraza/jardín,"Buenas, ¿cómo andan? Soy Mariano, de Acrule Hidroponía. Les escribo porque fabricamos huertas hidropónicas y estamos armando una comunidad enfocada en ayudar a que la gente cultive sus propios alimentos de manera saludable. Te cuento que me encantó la estética que manejan en Mike Outdoor Living y creo que nuestras huertas encajan perfecto con la propuesta de diseño que tienen, y podrían ser un buen punto de comercialización. Si te copa la idea avisame y te paso más info!","Buenas, ¿cómo andan? Soy Mariano, de Acrule Hidroponía. Les escribo porque fabricamos huertas hidropónicas y estamos armando una comunidad enfocada en ayudar a que la gente cultive sus propios alimentos de manera saludable. Te cuento que me encantó la estética que manejan en Mike Outdoor Living y creo que nuestras huertas encajan perfecto con la propuesta de diseño que tienen, y podrían ser un buen punto de comercialización. Si te copa la idea avisame y te paso más info!",Contactado,2026-04-13,
23,Merci Interiores,Interiorismo/Deco,"Showroom en Nordelta, Tigre (con cita previa)",@merciinteriores,+5491171010458,https://instagram.com/merciinteriores,Baja,Interiorismo a medida. Podría recomendar kits a sus clientes,"Buenas, ¿cómo andan? Soy Mariano, de Acrule Hidroponía. Les escribo porque fabricamos huertas hidropónicas y estamos armando una comunidad enfocada en ayudar a que la gente cultive sus propios alimentos de manera saludable. Te cuento que me encantó la estética que manejan en Merci Interiores y creo que nuestras huertas encajan perfecto con la propuesta de diseño que tienen, y podrían ser un buen punto de comercialización. Si te copa la idea avisame y te paso más info!","Buenas, ¿cómo andan? Soy Mariano, de Acrule Hidroponía. Les escribo porque fabricamos huertas hidropónicas y estamos armando una comunidad enfocada en ayudar a que la gente cultive sus propios alimentos de manera saludable. Te cuento que me encantó la estética que manejan en Merci Interiores y creo que nuestras huertas encajan perfecto con la propuesta de diseño que tienen, y podrían ser un buen punto de comercialización. Si te copa la idea avisame y te paso más info!",Número inválido,,WhatsApp no funciona (intento 2026-04-20)
24,Loreto Muebles y Objetos Nordelta,Muebles/Deco,"Nordelta, Tigre",@loretomueblesnordelta,+5491127437693,https://instagram.com/loretomueblesnordelta,Media,Carpintería a medida con local en Nordelta. 101K seguidores en cuenta principal,"Buenas, ¿cómo andan? Soy Mariano, de Acrule Hidroponía. Les escribo porque fabricamos huertas hidropónicas y estamos armando una comunidad enfocada en ayudar a que la gente cultive sus propios alimentos de manera saludable. Te cuento que me encantó la estética que manejan en Loreto Muebles y Objetos Nordelta y creo que nuestras huertas encajan perfecto con la propuesta de diseño que tienen, y podrían ser un buen punto de comercialización. Si te copa la idea avisame y te paso más info!","Buenas, ¿cómo andan? Soy Mariano, de Acrule Hidroponía. Les escribo porque fabricamos huertas hidropónicas y estamos armando una comunidad enfocada en ayudar a que la gente cultive sus propios alimentos de manera saludable. Te cuento que me encantó la estética que manejan en Loreto Muebles y Objetos Nordelta y creo que nuestras huertas encajan perfecto con la propuesta de diseño que tienen, y podrían ser un buen punto de comercialización. Si te copa la idea avisame y te paso más info!",Número inválido,,WhatsApp no funciona (intento 2026-04-20)
25,New Garden Nordelta,Dietética,"Av. de los Lagos 7008, Rincón de Milberg",@newgarden.com.ar,+541148715555,https://instagram.com/newgarden.com.ar,Media,Cadena de alimentos naturales y orgánicos. 91 años. 50+ locales,"Buenas, ¿cómo andan? Soy Mariano, de Acrule Hidroponía. Les escribo porque fabricamos huertas hidropónicas y estamos armando una comunidad enfocada en ayudar a que la gente cultive sus propios alimentos de manera saludable. Te cuento que vi lo que hacen en New Garden Nordelta con las plantas y la propuesta verde, y nos parece que encaja perfecto con la comunidad que estamos armando, y podrían ser un buen punto de comercialización. Si te copa la idea avisame y te paso más info!","Buenas, ¿cómo andan? Soy Mariano, de Acrule Hidroponía. Les escribo porque fabricamos huertas hidropónicas y estamos armando una comunidad enfocada en ayudar a que la gente cultive sus propios alimentos de manera saludable. Te cuento que vi lo que hacen en New Garden Nordelta con las plantas y la propuesta verde, y nos parece que encaja perfecto con la comunidad que estamos armando, y podrían ser un buen punto de comercialización. Si te copa la idea avisame y te paso más info!",Número inválido,,WhatsApp no funciona (intento 2026-04-20)
26,Nordelta Natural,Dietética/Natural,"Nordelta, Tigre",@nordeltanatural,-,https://instagram.com/nordeltanatural,Media,Venta mayorista y minorista de productos dietéticos y naturales. 3K seguidores,"Buenas, ¿cómo andan? Soy Mariano, de Acrule Hidroponía. Les escribo porque fabricamos huertas hidropónicas y estamos armando una comunidad enfocada en ayudar a que la gente cultive sus propios alimentos de manera saludable. Te cuento que vi la propuesta saludable que tienen en Nordelta Natural y creemos que el cultivo en casa es un complemento natural para la gente que los elige, y podrían ser un buen punto de comercialización. Si te copa la idea avisame y te paso más info!","Buenas, ¿cómo andan? Soy Mariano, de Acrule Hidroponía. Les escribo porque fabricamos huertas hidropónicas y estamos armando una comunidad enfocada en ayudar a que la gente cultive sus propios alimentos de manera saludable. Te cuento que vi la propuesta saludable que tienen en Nordelta Natural y creemos que el cultivo en casa es un complemento natural para la gente que los elige, y podrían ser un buen punto de comercialización. Si te copa la idea avisame y te paso más info!",Sin contactar,,
